estimate_year,source_workbook,nhs_region,nhs_region_code,population
2023,ons_pop_estimates_2022-2024.xlsx,London,E40000003,8999705
2023,ons_pop_estimates_2022-2024.xlsx,Midlands,E40000011,11110198
2023,ons_pop_estimates_2022-2024.xlsx,North East and Yorkshire,E40000012,8654398
2023,ons_pop_estimates_2022-2024.xlsx,North West,E40000014,7315223
2023,ons_pop_estimates_2022-2024.xlsx,South East,E40000005,9215038
2023,ons_pop_estimates_2022-2024.xlsx,South West,E40000006,5837172
2024,ons_pop_estimates_2022-2024.xlsx,East of England,E40000013,6889610
2024,ons_pop_estimates_2022-2024.xlsx,London,E40000003,9089736
2024,ons_pop_estimates_2022-2024.xlsx,Midlands,E40000011,11250368
2024,ons_pop_estimates_2022-2024.xlsx,North East and Yorkshire,E40000012,8755647
2024,ons_pop_estimates_2022-2024.xlsx,North West,E40000014,7415407
2024,ons_pop_estimates_2022-2024.xlsx,South East,E40000005,9322323
2024,ons_pop_estimates_2022-2024.xlsx,South West,E40000006,5897010
