"region","total_DDD","total_DDD_2024","population","DDDs_per_1000"
"East Of England",281061.386323817,48386.4973726991,6889610,7.02
"London",1173080.06384219,227666.731385391,9089736,25.05
"Midlands",1130304.47405777,214674.400011239,11250368,19.08
"North East And Yorkshire",614624.653484755,107095.950858145,8755647,12.23
"North West",664240.421461986,118021.946658653,7415407,15.92
"South East",623867.513416431,109345.962388509,9322323,11.73
"South West",403734.096432776,73110.7186094113,5897010,12.4
