"PERIOD","total_DDD"
"2017",184209.541450684
"2018",190285.325485961
"2019",218632.298437725
"2020",185511.74924766
"2021",187814.178844492
"2022",202822.599164867
"2023",214608.052138229
"2024",251834.161990641
