"year","product_code","product_name","total_DDD"
"2019","0402030K0BDAAAG","Liskonum 450mg modified-release tablets",72214.3291036717
"2019","0402030K0BFAAAF","Priadel 400mg modified-release tablets",7078874.1900648
"2019","0402030K0BFABAI","Priadel 200mg modified-release tablets",2508287.66198704
"2019","0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",21387.3344765171
"2019","0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",2088.7086786701
"2019","0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",11050.8205915976
"2019","0402030P0BCAAAI","Priadel 520mg/5ml liquid",109144.889015909
"2019","0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",21602.9816852434
"2019","0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",9688.79584643231
"2020","0402030K0AAACAC","Lithium carbonate 250mg tablets",197927.072084233
"2020","0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",738785.097192225
"2020","0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",27386.4403347732
"2020","0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",292237.44600432
"2020","0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",197.534197264219
"2020","0402030K0BBAAAC","Camcolit 250 tablets",378.532217422606
"2020","0402030K0BBABAF","Camcolit 400 modified-release tablets",323859.791216703
"2020","0402030K0BDAAAG","Liskonum 450mg modified-release tablets",80495.4103671706
"2020","0402030K0BFAAAF","Priadel 400mg modified-release tablets",6777985.96112311
"2020","0402030K0BFABAI","Priadel 200mg modified-release tablets",2865904.20266379
"2020","0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",18912.789368391
"2020","0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",4495.02715061446
"2020","0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",11300.6049347433
"2020","0402030P0BCAAAI","Priadel 520mg/5ml liquid",113255.301514718
"2020","0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",21833.794298371
"2020","0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",7626.87791750024
"2021","0402030K0AAACAC","Lithium carbonate 250mg tablets",195855.269078474
"2021","0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",602588.642908567
"2021","0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",28292.0491360691
"2021","0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",255923.326133909
"2021","0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",215.982721382289
"2021","0402030K0BBAAAC","Camcolit 250 tablets",253.94843412527
"2021","0402030K0BBABAF","Camcolit 400 modified-release tablets",478700.05399568
"2021","0402030K0BDAAAG","Liskonum 450mg modified-release tablets",90635.7991360691
"2021","0402030K0BFAAAF","Priadel 400mg modified-release tablets",6198815.69474442
"2021","0402030K0BFABAI","Priadel 200mg modified-release tablets",2823116.45068395
"2021","0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",17537.9870439173
"2021","0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",5635.14932837954
"2021","0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",9589.81554253596
"2021","0402030P0BCAAAI","Priadel 520mg/5ml liquid",109186.50090502
"2021","0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",20994.6740735448
"2021","0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",7550.62732209203
"2022","0402030K0AAACAC","Lithium carbonate 250mg tablets",176120.410367171
"2022","0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",538560.115190785
"2022","0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",25161.6495680346
"2022","0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",226743.160547156
"2022","0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",175.48596112311
"2022","0402030K0BBAAAC","Camcolit 250 tablets",379.938354931605
"2022","0402030K0BBABAF","Camcolit 400 modified-release tablets",415365.820734341
"2022","0402030K0BDAAAG","Liskonum 450mg modified-release tablets",82442.2921166307
"2022","0402030K0BFAAAF","Priadel 400mg modified-release tablets",6168227.14182865
"2022","0402030K0BFABAI","Priadel 200mg modified-release tablets",2689438.66990641
"2022","0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",17025.3929694198
"2022","0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",4440.47585024293
"2022","0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",9051.27298275698
"2022","0402030P0BCAAAI","Priadel 520mg/5ml liquid",108922.525483471
"2022","0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",21703.416690483
"2022","0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",7184.52748404306
"2023","0402030K0AAACAC","Lithium carbonate 250mg tablets",158119.037976962
"2023","0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",480047.246220302
