"Year","Total DDDs"
"2015","12,634,575"
"2016","12,332,939"
"2017","12,161,536"
"2018","11,859,864"
"2019","12,506,054"
"2020","12,435,722"
"2021","11,803,156"
"2022","11,473,617"
"2023","11,256,038"
"2024","11,146,849"
