"product_code","product_name"
"36040211000001104","Lithium carbonate 450mg modified-release tablets"
"36040311000001107","Lithium citrate 520mg/5ml oral solution sugar free"
"39110011000001104","Lithium carbonate 200mg modified-release tablets"
"39110111000001103","Lithium carbonate 400mg modified-release tablets"
"42295711000001101","Lithium carbonate 250mg tablets"
"42295811000001109","Lithium citrate 1.018g/5ml oral solution"
"42295911000001104","Lithium citrate 509mg/5ml oral solution"
