"Region","total_DDD","total_DDD_2024","population","DDDs_per_1000"
"East of England",13697716.3593872,1207062.73799868,6889610,175.2
"London",15184622.7868623,1497900.54447895,9089736,164.79
"Midlands",19740715.9492787,1699712.43283461,11250368,151.08
"North East And Yorkshire",16690159.282596,1408070.03717996,8755647,160.82
"North West",16615282.353014,1384311.48247759,7415407,186.68
"South East",19028931.0711705,1694795.40282298,9322323,181.8
"South West",12193069.4445632,1096289.44169305,5897010,185.91
