"region","2019","2020","2021","2022","2023","2024"
"North East and Yorkshire",219.43,215.17,202.8,191.86,183.88,179.39
"North West",260.74,257.36,243.03,230.48,219.55,207.86
"Midlands",209.33,206.96,193.54,186.23,181.56,176.28
"East of England",220.75,218.35,205.06,196.87,189.03,183.79
"London",192.78,194.24,190.75,189.87,189.57,193.26
"South East",234.16,232.96,219.36,209.79,201.04,197.5
"South West",233.45,234.52,218.02,210.95,204.46,201.16
