"Region","population","total_DDD_2024","total_DDD","DDDs_per_1000","Source","region","name"
"East of England",6401418,1207062.73799868,13697698.1756204,188.56,"Primary",NA,NA
"London",8869043,1497900.54447895,15184622.7868623,168.89,"Primary",NA,NA
"Midlands",10951858,1699712.43283461,19740715.9492787,155.2,"Primary",NA,NA
"North East And Yorkshire",8220282,1408070.03717996,16690147.1600848,171.29,"Primary",NA,NA
"North West",7515718,1384311.48247759,16615282.353014,184.19,"Primary",NA,NA
"South East",9387286,1694795.40282298,19028894.7036369,180.54,"Primary",NA,NA
"South West",5766937,1096289.44169305,12193033.0770296,190.1,"Primary",NA,NA
