PERIOD,BNF_NAME,BNF_CODE,HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,QUANTITY,TOTAL_QUANTITY,TOTAL_ITEMS,TOTAL_ACTUAL_COST,TOTAL_NIC
202510,Priadel 400mg modified-release tablets,0402030K0BFAAAF,G6V2S,NORTH LONDON NHS FOUNDATION TRUST,28,84,3,15.18674,15.63
202510,Priadel 400mg modified-release tablets,0402030K0BFAAAF,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,28,84,3,15.18674,15.63
202510,Priadel 400mg modified-release tablets,0402030K0BFAAAF,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,14,168,12,30.99087,31.2
202510,Lithium carbonate 200mg modified-release tablets,0402030K0AAAIAI,G6V2S,NORTH LONDON NHS FOUNDATION TRUST,14,42,3,6.89266,6.9
202510,Priadel 400mg modified-release tablets,0402030K0BFAAAF,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,56,56,1,10.01209,10.42
202510,Lithium carbonate 200mg modified-release tablets,0402030K0AAAIAI,G6V2S,NORTH LONDON NHS FOUNDATION TRUST,28,112,4,17.93082,18.4
202510,Priadel 200mg modified-release tablets,0402030K0BFABAI,RAT00,NORTH EAST LONDON NHS FOUNDATION TRUST,84,168,2,26.42763,27.58
202510,Priadel 400mg modified-release tablets,0402030K0BFAAAF,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,30,30,1,5.41377,5.58
202510,Lithium carbonate 400mg modified-release tablets,0402030K0AAAFAF,G6V2S,NORTH LONDON NHS FOUNDATION TRUST,8,8,1,1.528,1.49
202510,Lithium carbonate 450mg modified-release tablets,0402030K0AAAGAG,G6V2S,NORTH LONDON NHS FOUNDATION TRUST,28,28,1,5.36627,5.53
202510,Lithium carbonate 200mg modified-release tablets,0402030K0AAAIAI,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,28,112,4,17.93082,18.4
202510,Lithium carbonate 400mg modified-release tablets,0402030K0AAAFAF,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,28,140,5,25.31123,26.05
202510,Priadel 400mg modified-release tablets,0402030K0BFAAAF,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,7,7,1,1.34749,1.3
202510,Lithium carbonate 200mg modified-release tablets,0402030K0AAAIAI,RAT00,NORTH EAST LONDON NHS FOUNDATION TRUST,7,7,1,1.20498,1.15
202510,Lithium carbonate 400mg modified-release tablets,0402030K0AAAFAF,G6V2S,NORTH LONDON NHS FOUNDATION TRUST,7,21,3,4.04246,3.9
202510,Lithium carbonate 400mg modified-release tablets,0402030K0AAAFAF,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,7,7,1,1.34749,1.3
202510,Priadel 200mg modified-release tablets,0402030K0BFABAI,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,28,56,2,8.96541,9.2
