PERIOD,BNF_NAME,BNF_CODE,HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,QUANTITY,TOTAL_QUANTITY,TOTAL_ITEMS,TOTAL_ACTUAL_COST,TOTAL_NIC
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,RX400,NORTHUMBERLAND TYNE AND WEAR NHS TRUST,9,9,1,7.376966392,7.83
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,RX200,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,14,14,1,11.41283661,12.18
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,RK700,SHEFFIELD HEALTH & SOCIAL CARE NHS FT,28,28,1,22.71327322,24.36
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,RWR00,HERTFORDSHIRE P/SHIP UNIVERSITY NHS FT,28,28,1,22.71327322,24.36
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,RWK00,EAST LONDON NHS FOUNDATION TRUST,30,30,1,24.32762131,26.1
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,RXM00,DERBYSHIRE HEALTHCARE NHS FT,42,42,1,34.01370983,36.54
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,RT500,LEICESTERSHIRE PARTNERSHIP NHS TRUST,56,56,1,45.31414644,48.72
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,RWK00,EAST LONDON NHS FOUNDATION TRUST,60,60,1,48.54284261,52.2
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,RV500,SOUTH LONDON & MAUDSLEY NHS FOUND TRUST,42,84,2,68.02741966,73.08
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,112,112,1,90.51589288,97.44
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,RQ300,BIRMINGHAM WOMANS & CHILDRENS NHS FT,112,112,1,90.51589288,97.44
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,RT500,LEICESTERSHIRE PARTNERSHIP NHS TRUST,112,112,1,90.51589288,97.44
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,R1F00,ISLE OF WIGHT NHS TRUST,120,120,1,96.97328522,104.4
201808,Lithium Carb_Tab 250mg,0402030K0AAACAC,RQ300,BIRMINGHAM WOMANS & CHILDRENS NHS FT,336,336,1,271.3228786,292.32
201808,Lithium Carb_Tab 400mg M/R,0402030K0AAAFAF,RDY00,DORSET H/CARE UNI NHS FOUNDATION TRUST,19,19,1,0.817517555,0.76
201808,Lithium Carb_Tab 400mg M/R,0402030K0AAAFAF,RRQ00,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,18,18,1,0.780406105,0.72
201808,Lithium Carb_Tab 400mg M/R,0402030K0AAAFAF,RT500,LEICESTERSHIRE PARTNERSHIP NHS TRUST,28,196,7,8.125589292,7.91
201808,Lithium Carb_Tab 400mg M/R,0402030K0AAAFAF,RV500,SOUTH LONDON & MAUDSLEY NHS FOUND TRUST,56,504,9,19.7992717,20.25
201808,Lithium Carb_Tab 400mg M/R,0402030K0AAAFAF,RW400,MERSEY CARE NHS FOUNDATION TRUST,93,93,1,3.582320601,3.74
201808,Lithium Carb_Tab 400mg M/R,0402030K0AAAFAF,RWR00,HERTFORDSHIRE P/SHIP UNIVERSITY NHS FT,52,52,1,2.051473277,2.09
