PERIOD,BNF_NAME,BNF_CODE,HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,QUANTITY,TOTAL_QUANTITY,TOTAL_ITEMS,TOTAL_ACTUAL_COST,TOTAL_NIC
202211,Lithium carbonate 250mg tablets,0402030K0AAACAC,RPG00,OXLEAS NHS FOUNDATION TRUST,224,224,1,182.3173302,194.88
202211,Lithium carbonate 250mg tablets,0402030K0AAACAC,RPG00,OXLEAS NHS FOUNDATION TRUST,168,168,1,136.7660977,146.16
202211,Lithium carbonate 250mg tablets,0402030K0AAACAC,RWR00,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,168,168,1,136.7660977,146.16
202211,Lithium carbonate 250mg tablets,0402030K0AAACAC,RHA00,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,56,56,1,45.66363256,48.72
202211,Lithium carbonate 250mg tablets,0402030K0AAACAC,RXM00,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,56,56,1,45.66363256,48.72
202211,Lithium carbonate 250mg tablets,0402030K0AAACAC,RGD00,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,28,28,1,22.88801628,24.36
202211,Lithium carbonate 250mg tablets,0402030K0AAACAC,RQY00,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,28,28,1,22.88801628,24.36
202211,Lithium carbonate 250mg tablets,0402030K0AAACAC,RNU00,OXFORD HEALTH NHS FOUNDATION TRUST,28,28,1,22.88801628,24.36
202211,Lithium carbonate 250mg tablets,0402030K0AAACAC,RW500,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,28,28,1,22.88801628,24.36
202211,Lithium carbonate 250mg tablets,0402030K0AAACAC,RWR00,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,14,14,1,11.50020814,12.18
202211,Lithium carbonate 250mg tablets,0402030K0AAACAC,RW100,SOUTHERN HEALTH NHS FOUNDATION TRUST,7,7,1,5.80630407,6.09
202211,Lithium carbonate 250mg tablets,0402030K0AAACAC,RW100,SOUTHERN HEALTH NHS FOUNDATION TRUST,5,5,1,4.179474335,4.35
202211,Lithium carbonate 250mg tablets,0402030K0AAACAC,RX300,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,84,84,1,68.43924884,73.08
