PERIOD,BNF_CODE,BNF_NAME,HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,TOTAL_QUANTITY
201812,0402030K0BFABAI,Priadel_Tab 200mg,R1C00,THE SOLENT NHS TRUST,7.0
201812,0402030K0BFAAAF,Priadel_Tab 400mg,R1F00,ISLE OF WIGHT NHS TRUST,84.0
201812,0402030K0BFAAAF,Priadel_Tab 400mg,R1F00,ISLE OF WIGHT NHS TRUST,14.0
201812,0402030K0BFAAAF,Priadel_Tab 400mg,R1F00,ISLE OF WIGHT NHS TRUST,42.0
201812,0402030K0BFAAAF,Priadel_Tab 400mg,R1F00,ISLE OF WIGHT NHS TRUST,112.0
201812,0402030K0BFAAAF,Priadel_Tab 400mg,R1F00,ISLE OF WIGHT NHS TRUST,56.0
201812,0402030K0BFABAI,Priadel_Tab 200mg,R1F00,ISLE OF WIGHT NHS TRUST,42.0
201812,0402030K0BFABAI,Priadel_Tab 200mg,R1F00,ISLE OF WIGHT NHS TRUST,28.0
201812,0402030K0AAAFAF,Lithium Carb_Tab 400mg M/R,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,14.0
201812,0402030K0AAAFAF,Lithium Carb_Tab 400mg M/R,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,14.0
201812,0402030K0AAAFAF,Lithium Carb_Tab 400mg M/R,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,28.0
201812,0402030K0AAAFAF,Lithium Carb_Tab 400mg M/R,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,112.0
201812,0402030K0AAAFAF,Lithium Carb_Tab 400mg M/R,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,56.0
201812,0402030K0AAAIAI,Lithium Carb_Tab 200mg M/R,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,15.0
201812,0402030K0AAAIAI,Lithium Carb_Tab 200mg M/R,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,28.0
201812,0402030K0AAAIAI,Lithium Carb_Tab 200mg M/R,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,112.0
201812,0402030K0AAAIAI,Lithium Carb_Tab 200mg M/R,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,84.0
