PERIOD,BNF_NAME,BNF_CODE,HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,QUANTITY,TOTAL_QUANTITY,TOTAL_ITEMS,TOTAL_ACTUAL_COST,TOTAL_NIC
201904,Lithium Carb_Tab 250mg,0402030K0AAACAC,RX200,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,15,15,1,12.23697528,13.05
201904,Lithium Carb_Tab 250mg,0402030K0AAACAC,RXV00,GREATER MANCHESTER MENTAL HEALTH NHS FT,21,21,1,17.08680539,18.27
201904,Lithium Carb_Tab 250mg,0402030K0AAACAC,RW100,SOUTHERN HEALTH NHS FOUNDATION TRUST,28,28,1,22.74494052,24.36
201904,Lithium Carb_Tab 250mg,0402030K0AAACAC,RX400,NORTHUMBERLAND TYNE AND WEAR NHS TRUST,28,28,1,22.74494052,24.36
201904,Lithium Carb_Tab 250mg,0402030K0AAACAC,RWE00,UNIVERSITY HPLS OF LEICESTER NHS TRUST,30,30,1,24.36155056,26.1
201904,Lithium Carb_Tab 250mg,0402030K0AAACAC,RQ300,BIRMINGHAM WOMANS & CHILDRENS NHS FT,56,56,1,45.37748104,48.72
201904,Lithium Carb_Tab 250mg,0402030K0AAACAC,RV500,SOUTH LONDON & MAUDSLEY NHS FOUND TRUST,56,56,1,45.37748104,48.72
201904,Lithium Carb_Tab 250mg,0402030K0AAACAC,RXY00,KENT & MEDWAY NHS & SOC CARE PSHIP TRUST,56,56,1,45.37748104,48.72
201904,Lithium Carb_Tab 250mg,0402030K0AAACAC,RYK00,DUDLEY&WALSALL MH PARTNERSHIP NHS TRUST,28,56,2,45.48988104,48.72
201904,Lithium Carb_Tab 250mg,0402030K0AAACAC,RV500,SOUTH LONDON & MAUDSLEY NHS FOUND TRUST,112,112,1,90.64256209,97.44
201904,Lithium Carb_Tab 250mg,0402030K0AAACAC,RXT00,B'HAM & S'HULL MH NHS FOUNDATION TRUST,120,120,1,97.10900224,104.4
201904,Lithium Carb_Tab 250mg,0402030K0AAACAC,RX400,NORTHUMBERLAND TYNE AND WEAR NHS TRUST,140,140,1,113.2751026,121.8
201904,Lithium Carb_Tab 400mg M/R,0402030K0AAAFAF,RV500,SOUTH LONDON & MAUDSLEY NHS FOUND TRUST,56,616,11,24.23128415,24.75
201904,Lithium Carb_Tab 400mg M/R,0402030K0AAAFAF,RV500,SOUTH LONDON & MAUDSLEY NHS FOUND TRUST,7,49,7,2.607809008,1.96
201904,Lithium Carb_Tab 400mg M/R,0402030K0AAAFAF,RXM00,DERBYSHIRE HEALTHCARE NHS FT,8,16,2,0.819415186,0.64
201904,Lithium Carb_Tab 400mg M/R,0402030K0AAAFAF,RXT00,B'HAM & S'HULL MH NHS FOUNDATION TRUST,56,560,10,22.02844014,22.5
