Trust Code,Trust Name,Region,ICB,Predecessors,Successors,Total Quantity,Unit
RBT,"Mid Cheshire Hospitals NHS Foundation Trust","North West","NHS Cheshire And Merseyside","","",3386.3547241809465,"DDD (24.0 mmol)"
RQ8,"Mid Essex Hospital Services NHS Trust","East Of England","NHS England East Of England (East)","","RAJ",0,""
RRE,"Midlands Partnership University NHS Foundation Trust","Midlands","NHS Staffordshire And Stoke-On-Trent","R1E","",32242.981955460113,"DDD (24.0 mmol)"
RXF,"Mid Yorkshire Teaching NHS Trust","North East And Yorkshire","NHS West Yorkshire","","",10470.863804956707,"DDD (24.0 mmol)"
RD8,"Milton Keynes University Hospital NHS Foundation Trust","East Of England","NHS Bedfordshire, Luton And Milton Keynes","","",3207.042243113232,"DDD (24.0 mmol)"
RP6,"Moorfields Eye Hospital NHS Foundation Trust","London","NHS North Central London","","",0,""
RM1,"Norfolk And Norwich University Hospitals NHS Foundation Trust","East Of England","NHS Norfolk And Waveney","","",19022.400073048262,"DDD (24.0 mmol)"
RMY,"Norfolk And Suffolk NHS Foundation Trust","East Of England","NHS Norfolk And Waveney","","",50057.95633739499,"DDD (24.0 mmol)"
RY3,"Norfolk Community Health And Care NHS Trust","East Of England","NHS Norfolk And Waveney","","",706.8958830842864,"DDD (24.0 mmol)"
RNS,"Northampton General Hospital NHS Trust","Midlands","NHS Northamptonshire","","",5100.862109261686,"DDD (24.0 mmol)"
RP1,"Northamptonshire Healthcare NHS Foundation Trust","Midlands","NHS Northamptonshire","","",30881.72060334473,"DDD (24.0 mmol)"
RVJ,"North Bristol NHS Trust","South West","NHS Bristol, North Somerset And South Gloucestershire","","",9045.274656194279,"DDD (24.0 mmol)"
RNN,"North Cumbria Integrated Care NHS Foundation Trust","North East And Yorkshire","NHS North East And North Cumbria","RNL","",5408.204875436827,"DDD (24.0 mmol)"
RNL,"North Cumbria University Hospitals NHS Trust","North East And Yorkshire","NHS England North East And Yorkshire (Cumbria And North East)","","RNN",0,""
RAT,"North East London NHS Foundation Trust","London","NHS North East London","","",85700.18295146828,"DDD (24.0 mmol)"
RM3,"Northern Care Alliance NHS Foundation Trust","North West","NHS Greater Manchester","","",30388.735918790404,"DDD (24.0 mmol)"
RBZ,"Northern Devon Healthcare NHS Trust","South West","NHS Devon","","RH8",0,""
RJL,"Northern Lincolnshire And Goole NHS Foundation Trust","North East And Yorkshire","NHS Humber And North Yorkshire","","",3051.477901182291,"DDD (24.0 mmol)"
G6V2S,"North London NHS Foundation Trust","London","NHS North Central London","RRP,TAF","",255516.9951900347,"DDD (24.0 mmol)"
RAP,"North Middlesex University Hospital NHS Trust","London","NHS North Central London","","RAL",0,""
RLY,"North Staffordshire Combined Healthcare NHS Trust","Midlands","NHS Staffordshire And Stoke-On-Trent","","",17931.816684359717,"DDD (24.0 mmol)"
RVW,"North Tees And Hartlepool NHS Foundation Trust","North East And Yorkshire","NHS North East And North Cumbria","","",2560.591670012039,"DDD (24.0 mmol)"
RTF,"Northumbria Healthcare NHS Foundation Trust","North East And Yorkshire","NHS North East And North Cumbria","","",10434.153267420337,"DDD (24.0 mmol)"
RGN,"North West Anglia NHS Foundation Trust","East Of England","NHS Cambridgeshire And Peterborough","","",6218.673175305748,"DDD (24.0 mmol)"
