Trust Code,Trust Name,Region,ICB,Predecessors,Successors,Total Quantity,Unit
RBA,"Taunton And Somerset NHS Foundation Trust","South West","NHS England South West (South West South)","","RH5",0,""
RX3,"Tees, Esk And Wear Valleys NHS Foundation Trust","North East And Yorkshire","NHS North East And North Cumbria","","",115326.62156839675,"DDD (24.0 mmol)"
RBV,"The Christie NHS Foundation Trust","North West","NHS Greater Manchester","","",828.5869434710023,"DDD (24.0 mmol)"
REN,"The Clatterbridge Cancer Centre NHS Foundation Trust","North West","NHS Cheshire And Merseyside","","",1048.8116711325092,"DDD (24.0 mmol)"
RNA,"The Dudley Group NHS Foundation Trust","Midlands","NHS Black Country","","",6784.757145271791,"DDD (24.0 mmol)"
RAS,"The Hillingdon Hospitals NHS Foundation Trust","London","NHS North West London","","",3420.319165682532,"DDD (24.0 mmol)"
RTD,"The Newcastle Upon Tyne Hospitals NHS Foundation Trust","North East And Yorkshire","NHS North East And North Cumbria","","",9106.195836764631,"DDD (24.0 mmol)"
RQW,"The Princess Alexandra Hospital NHS Trust","East Of England","NHS Hertfordshire And West Essex","","",6365.035975352399,"DDD (24.0 mmol)"
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","East Of England","NHS Norfolk And Waveney","","",5565.959194938498,"DDD (24.0 mmol)"
RL1,"The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","Midlands","NHS Shropshire, Telford And Wrekin","","",506.2095032397408,"DDD (24.0 mmol)"
RFR,"The Rotherham NHS Foundation Trust","North East And Yorkshire","NHS South Yorkshire","","",18973.67905347967,"DDD (24.0 mmol)"
RDZ,"The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust","South West","NHS Dorset","","R0D",0,""
RPY,"The Royal Marsden NHS Foundation Trust","London","NHS North West London","","",623.2470880369036,"DDD (24.0 mmol)"
RRJ,"The Royal Orthopaedic Hospital NHS Foundation Trust","Midlands","NHS Birmingham And Solihull","","",219.13246940244787,"DDD (24.0 mmol)"
RL4,"The Royal Wolverhampton NHS Trust","Midlands","NHS Black Country","","",4144.029410174238,"DDD (24.0 mmol)"
RXW,"The Shrewsbury And Telford Hospital NHS Trust","Midlands","NHS Shropshire, Telford And Wrekin","","",12444.639476582166,"DDD (24.0 mmol)"
RET,"The Walton Centre NHS Foundation Trust","North West","NHS Cheshire And Merseyside","","",7735.130393896941,"DDD (24.0 mmol)"
RA9,"Torbay And South Devon NHS Foundation Trust","South West","NHS Devon","","",7570.675763825589,"DDD (24.0 mmol)"
RWD,"United Lincolnshire Teaching Hospitals NHS Trust","Midlands","NHS Lincolnshire","","",7389.027942850503,"DDD (24.0 mmol)"
RRV,"University College London Hospitals NHS Foundation Trust","London","NHS North Central London","","",13732.39225839654,"DDD (24.0 mmol)"
RM2,"University Hospital Of South Manchester NHS Foundation Trust","North West","NHS England North West (Greater Manchester)","","R0A",0,""
RRK,"University Hospitals Birmingham NHS Foundation Trust","Midlands","NHS Birmingham And Solihull","RR1","",44462.09520186189,"DDD (24.0 mmol)"
RA7,"University Hospitals Bristol And Weston NHS Foundation Trust","South West","NHS Bristol, North Somerset And South Gloucestershire","RA3","",12859.970056628443,"DDD (24.0 mmol)"
RKB,"University Hospitals Coventry And Warwickshire NHS Trust","Midlands","NHS Coventry And Warwickshire","","",13867.344912216062,"DDD (24.0 mmol)"
R0D,"University Hospitals Dorset NHS Foundation Trust","South West","NHS Dorset","RD3,RDZ","",8526.10845238046,"DDD (24.0 mmol)"
RTG,"University Hospitals Of Derby And Burton NHS Foundation Trust","Midlands","NHS Derby And Derbyshire","RJF","",14496.094149196264,"DDD (24.0 mmol)"
RWE,"University Hospitals Of Leicester NHS Trust","Midlands","NHS Leicester, Leicestershire And Rutland","","",20451.864513633307,"DDD (24.0 mmol)"
RTX,"University Hospitals Of Morecambe Bay NHS Foundation Trust","North West","NHS Lancashire And South Cumbria","","",5256.3889303241485,"DDD (24.0 mmol)"
RJE,"University Hospitals Of North Midlands NHS Trust","Midlands","NHS Staffordshire And Stoke-On-Trent","","",10903.94207992323,"DDD (24.0 mmol)"
RHM,"University Hospital Southampton NHS Foundation Trust","South East","NHS Hampshire And Isle Of Wight","","",10105.307157858944,"DDD (24.0 mmol)"
RK9,"University Hospitals Plymouth NHS Trust","South West","NHS Devon","","",10615.217543417664,"DDD (24.0 mmol)"
RYR,"University Hospitals Sussex NHS Foundation Trust","South East","NHS Sussex","RXH","",21889.682288179516,"DDD (24.0 mmol)"
RBK,"Walsall Healthcare NHS Trust","Midlands","NHS Black Country","","",3392.0565571813454,"DDD (24.0 mmol)"
